# corpora scanned (10): ada_drivers_library,aws,coap_spark,cubedos,gnatcoll,libkeccak,project_bias,saatana,sparknacl,tokeneer
# check	exercised	presets	corpora	findings	files
No_Goto	yes	automotive,spark,verify	10	140	3
No_Abort	yes	automotive,spark,verify	10	3	1
No_Raise	yes	automotive,spark,verify	10	1462	144
No_Exit	no	-	0	0	0
No_Label	yes	automotive	2	0	0
No_Pragma	no	-	0	0	0
No_Access_To_Subp_Def	yes	automotive,spark,verify	10	416	69
No_Unchecked_Conversion	yes	automotive,spark,verify	10	125	27
No_Unchecked_Access	yes	automotive,spark,verify	10	120	21
Floating_Equality	yes	automotive,spark,verify	10	100	8
Magic_Number	yes	automotive	2	1562	166
Unused_Parameter	yes	recommended	4	82	8
Wrong_Parameter_Mode	yes	recommended	4	104	44
Dead_Store	yes	automotive,recommended,spark,verify	10	566	83
Overwritten_Assignment	yes	automotive,recommended,spark,verify	10	36	8
Shadowed_Declaration	yes	automotive	2	486	60
Unreachable_Case_Alternative	yes	automotive,recommended	4	0	0
Overlapping_Case_Ranges	yes	automotive,recommended	4	0	0
Infinite_Loop	yes	automotive,recommended,spark,verify	10	39	16
Duplicate_Boolean_Operand	yes	recommended	4	0	0
Redundant_Abs	no	-	0	0	0
Redundant_Unary_Minus	no	-	0	0	0
Exception_Swallowed	yes	automotive,recommended	4	23	6
Cyclomatic_Complexity	yes	automotive	2	105	52
Constant_Condition	yes	automotive,recommended,spark,verify	10	43	22
Unreachable_Code	yes	automotive,recommended,spark,verify	10	46	3
Division_By_Zero	yes	automotive,recommended,spark,verify	10	0	0
Integer_Division_Before_Multiplication	no	-	0	0	0
Excessive_Shift_Amount	no	-	0	0	0
Known_Negative_Shift_Amount_Failure	no	-	0	0	0
Known_Negative_Exponent_Failure	no	-	0	0	0
Succ_Pred_Boundary_Overflow	no	-	0	0	0
Reversed_Range	yes	automotive,recommended,spark,verify	10	0	0
Self_Assignment	yes	automotive,recommended,spark,verify	10	0	0
Same_Operand	yes	recommended	4	0	0
Duplicate_Condition	yes	recommended	4	0	0
Duplicate_With_Clause	no	-	0	0	0
Duplicate_Exception_Choice	no	-	0	0	0
Null_Statement	no	-	0	0	0
Redundant_Final_Return	no	-	0	0	0
Empty_Exception_Handler	yes	recommended	4	24	14
Unreachable_Branch	yes	automotive,recommended	4	0	0
Contradictory_Condition	yes	automotive,recommended,spark,verify	10	0	0
Contradictory_Range_Condition	no	-	0	0	0
Identical_Branches	yes	recommended	4	17	11
Repeated_Statement	yes	recommended	4	1	1
Ineffective_Operation	yes	recommended	4	2	2
Constant_Result_Operation	yes	recommended	4	1	1
Empty_Loop	yes	recommended	4	46	8
No_Recursion	yes	automotive,spark,verify	10	386	20
No_Multiple_Return	yes	automotive	2	494	121
Non_Short_Circuit_Condition	yes	automotive,spark,verify	10	189	52
Address_Clause	yes	automotive,spark,verify	10	95	14
Too_Many_Parameters	no	-	0	0	0
Swappable_Parameters	yes	recommended	4	655	108
Deep_Nesting	yes	automotive	2	50	28
Unused_Variable	yes	recommended	4	13	11
Empty_If_Body	yes	recommended	4	1	1
Empty_Elsif_Body	yes	recommended	4	6	6
Empty_Then_Body	yes	recommended	4	17	11
Empty_Else_Body	yes	recommended	4	3	3
Null_Case_Alternative	yes	recommended	4	43	25
